,Unix,open,high,low,close,EMA_50,EMA_200,RSI
107,1613433600000,20.0769,21.32,19.3752,20.4846,14.181589664293318,,61.9099891277765
108,1613520000000,20.4844,21.8168,19.1663,21.5175,14.472993934698597,,64.77119046668868
109,1613606400000,21.5384,22.27,20.5663,21.1733,14.739015152237382,,63.07097432513697
110,1613692800000,21.1742,21.544,19.3235,20.0756,14.950789588859516,,57.85516315657203
111,1613779200000,20.0744,32.999,19.5026,28.7533,15.498265572357338,,75.26771007974055
112,1613865600000,28.7315,32.122,27.7142,28.7763,16.02470172605164,,75.29684261465938
113,1613952000000,28.7958,29.1458,21.8157,27.6835,16.486740438940362,,71.01657239166983
114,1614038400000,27.6861,27.7995,18.1,24.8086,16.816399519381513,,61.165809025060234
115,1614124800000,24.8325,27.36,23.0701,25.2509,17.15038780659393,,62.038248487145765
116,1614211200000,25.2509,26.99,23.0803,23.4781,17.40085603080385,,56.55406066903884
117,1614297600000,23.478,25.1867,21.01,23.1082,17.62668548431168,,55.4525627391953
118,1614384000000,23.126,24.8409,22.2954,23.5338,17.860337132597024,,56.50231780502342
119,1614470400000,23.5538,24.127,20.4743,22.2098,18.032318763425202,,52.368013820423684
120,1614556800000,22.2152,25.72,22.0527,25.7058,18.335636397553376,,60.57175126090202
121,1614643200000,25.7164,27.4389,24.5146,25.5253,18.619740931693325,,59.99719249461951
122,1614729600000,25.5253,27.5855,25.265,25.3565,18.885868789711456,,59.42945705232163
123,1614816000000,25.3401,29.7738,24.75,28.2681,19.25639618901348,,65.49466004757234
124,1614902400000,28.2471,28.77,25.8223,28.2866,19.6129224825758,,65.5299216052347
125,1614988800000,28.2885,29.0502,27.1454,28.5148,19.964288847544527,,65.9915899592447
126,1615075200000,28.5311,34.88,28.3599,34.2651,20.52861263655918,,75.05713189645003
127,1615161600000,34.2459,34.9277,32.0333,33.2344,21.029872302164982,,71.38401402849846
128,1615248000000,33.222,34.7648,32.35,32.8722,21.496957326934016,,70.08601279057926
129,1615334400000,32.8696,33.5,30.3186,30.8877,21.867263145186136,,63.29505171752445
130,1615420800000,30.8787,31.8238,29.5,30.9944,22.22709595462125,,63.499834162860644
131,1615507200000,31.0093,31.9719,29.1548,30.9198,22.569729920872756,,63.234202862829356
132,1615593600000,30.9117,33.3585,30.185,32.4439,22.958854818871846,,66.33285134883444
133,1615680000000,32.4726,33.8965,30.6261,30.6509,23.261927346925297,,59.93331999058874
134,1615766400000,30.6494,31.534,29.534,29.7983,23.519417825607835,,57.11172605429371
135,1615852800000,29.8058,30.0501,27.9781,30.0247,23.775637987218467,,57.68146069216957
136,1615939200000,30.0247,31.68,29.4191,31.2878,24.071465075527943,,60.809424321080115
137,1616025600000,31.3261,31.6,29.7136,29.9785,24.304044496104833,,56.174364834310396
