Unix,BTC_Open,BTC_High,BTC_Low,BTC_Close,ETH_Open,ETH_High,ETH_Low,ETH_Close,UNI_Open,UNI_High,UNI_Low,UNI_Close,CRV_Open,CRV_High,CRV_Low,CRV_Close
1614816000000,50349.37,51773.88,47500.0,48374.09,1567.68,1624.87,1506.36,1539.23,25.3401,29.7738,24.75,28.2681,2.278,2.386,2.012,2.086
1614902400000,48374.09,49448.93,46300.0,48751.71,1539.22,1548.96,1441.66,1528.31,28.2471,28.77,25.8223,28.2866,2.083,2.116,1.91,2.052
1614988800000,48746.81,49200.0,47070.0,48882.2,1528.08,1671.58,1513.03,1650.35,28.2885,29.0502,27.1454,28.5148,2.054,2.172,1.913,2.047
1615075200000,48882.2,51450.03,48882.2,50971.75,1650.68,1734.16,1630.35,1726.16,28.5311,34.88,28.3599,34.2651,2.048,2.266,2.043,2.245
1615161600000,50959.11,52402.78,49274.67,52375.17,1726.46,1843.59,1664.96,1833.18,34.2459,34.9277,32.0333,33.2344,2.245,2.41,2.033,2.395
1615248000000,52375.18,54895.0,51789.41,54884.5,1833.22,1870.77,1798.2,1870.51,33.222,34.7648,32.35,32.8722,2.395,2.485,2.274,2.406
1615334400000,54874.67,57387.69,53005.0,55851.59,1870.5,1877.69,1757.0,1795.12,32.8696,33.5,30.3186,30.8877,2.406,2.483,2.171,2.212
1615420800000,55851.59,58150.0,54272.82,57773.16,1795.28,1846.7,1725.0,1825.78,30.8787,31.8238,29.5,30.9944,2.215,2.226,2.048,2.173
1615507200000,57773.15,58081.51,54962.84,57221.72,1825.78,1841.88,1719.72,1766.1,31.0093,31.9719,29.1548,30.9198,2.174,2.232,1.96,2.059
1615593600000,57221.72,61844.0,56078.23,61188.39,1766.13,1944.3,1727.75,1922.35,30.9117,33.3585,30.185,32.4439,2.059,2.382,1.977,2.378
1615680000000,61188.38,61724.79,58966.78,58968.31,1922.35,1933.1,1836.0,1848.1,32.4726,33.8965,30.6261,30.6509,2.381,2.402,2.103,2.107
1615766400000,58976.08,60633.43,54600.0,55605.2,1848.1,1891.76,1730.0,1793.48,30.6494,31.534,29.534,29.7983,2.108,2.36,2.041,2.224
1615852800000,55605.2,56938.29,53271.34,56900.75,1793.99,1819.5,1711.68,1805.12,29.8058,30.0501,27.9781,30.0247,2.224,2.618,2.093,2.596
1615939200000,56900.74,58974.73,54123.69,58912.97,1805.01,1838.88,1741.18,1823.58,30.0247,31.68,29.4191,31.2878,2.594,2.6,2.277,2.425
1616025600000,58912.97,60129.97,57023.0,57648.16,1823.58,1850.0,1759.04,1776.08,31.3261,31.6,29.7136,29.9785,2.423,2.799,2.405,2.609
1616112000000,57641.0,59468.0,56270.74,58030.01,1775.92,1840.61,1733.47,1809.1,29.9752,34.2,29.4497,33.262,2.608,2.795,2.477,2.746
1616198400000,58030.01,59880.0,57820.17,58102.28,1809.01,1868.83,1800.86,1806.1,33.2566,35.2005,31.85,32.0399,2.746,2.973,2.683,2.702
1616284800000,58100.02,58589.1,55450.11,57351.56,1806.57,1817.16,1747.0,1782.98,32.04,33.3,31.5,32.9395,2.705,2.764,2.513,2.594
1616371200000,57351.56,58430.73,53650.0,54083.25,1783.23,1807.51,1655.15,1680.97,32.9399,35.8531,31.7495,32.7958,2.593,2.704,2.327,2.352
1616457600000,54083.25,55830.9,53000.0,54340.89,1681.17,1721.17,1650.0,1668.08,32.828,36.8,30.0888,30.9878,2.352,3.277,2.22,2.882
1616544000000,54342.8,57200.0,51700.0,52303.65,1668.2,1740.86,1536.92,1581.84,31.017,31.8813,25.5247,27.2243,2.881,2.987,2.366,2.519
1616630400000,52303.66,53287.0,50427.56,51293.78,1581.88,1622.0,1549.4,1585.74,27.2213,28.07,25.5659,26.5,2.516,2.729,2.308,2.384
1616716800000,51293.78,55073.46,51214.6,55025.59,1585.83,1699.93,1585.79,1698.84,26.5005,29.0,26.4498,28.88,2.386,2.646,2.382,2.622
1616803200000,55025.59,56700.36,53950.0,55817.14,1698.84,1732.67,1666.41,1712.63,28.88,29.4706,27.7951,28.1897,2.621,3.2,2.556,3.123
1616889600000,55817.14,56559.75,54691.84,55777.63,1712.52,1725.66,1661.4,1687.01,28.1893,28.887,27.3558,27.8685,3.123,3.39,2.916,3.024
1616976000000,55777.65,58405.82,54800.01,57635.47,1687.16,1841.0,1677.85,1816.74,27.8714,29.5,27.5013,29.0155,3.022,3.577,2.991,3.523
1617062400000,57635.46,59368.0,57071.35,58746.57,1816.76,1859.13,1786.3,1840.46,29.0186,29.2693,28.28,28.55,3.52,3.528,3.146,3.286
1617148800000,58746.57,59800.0,56769.0,58740.55,1840.41,1947.29,1768.15,1919.37,28.5487,29.0251,26.666,28.0316,3.285,3.297,2.95,3.134
1617235200000,58739.46,59490.0,57935.45,58720.44,1919.37,1984.77,1885.02,1968.05,28.0776,30.3055,28.0776,28.6638,3.134,3.483,3.043,3.32
1617321600000,58720.45,60200.0,58428.57,58950.01,1968.05,2146.0,1948.48,2133.69,28.6638,30.2803,28.4252,30.2084,3.319,3.539,3.221,3.348
1617408000000,58950.01,59791.72,56880.0,57051.94,2133.69,2138.12,1996.3,2008.52,30.194,32.5,29.3293,29.3874,3.346,3.408,2.893,2.922
1617494400000,57051.95,58492.85,56388.0,58202.01,2008.59,2091.83,1975.24,2075.69,29.3859,31.5,28.9183,30.9131,2.922,3.122,2.854,3.103
1617580800000,58202.01,59272.0,56777.77,59129.99,2075.7,2130.64,2002.15,2107.38,30.9134,31.2306,29.6712,30.8292,3.105,3.5,2.91,3.316
1617667200000,59129.99,59495.24,57413.02,57991.15,2107.43,2151.0,2044.65,2112.21,30.8292,32.4508,30.0174,31.233,3.317,3.4,3.001,3.181
1617753600000,57990.03,58655.0,55473.0,55953.45,2112.22,2129.01,1930.01,1963.47,31.2512,31.4,27.7907,28.5722,3.182,3.384,2.722,2.895
1617840000000,55953.44,58153.31,55700.0,58077.52,1963.46,2084.61,1947.35,2080.46,28.5646,30.3316,28.3312,30.2033,2.896,3.099,2.851,3.074
1617926400000,58077.52,58894.9,57654.0,58142.54,2080.39,2100.0,2047.57,2066.87,30.1911,30.6713,29.25,29.5199,3.074,3.14,2.929,2.98
1618012800000,58142.55,61500.0,57900.01,59769.13,2067.19,2200.0,2058.0,2133.49,29.5199,30.9839,29.1687,29.7649,2.979,3.056,2.862,2.961
1618099200000,59769.13,60699.0,59232.52,60002.43,2133.49,2165.02,2113.4,2151.36,29.7743,30.6659,29.1936,29.9063,2.961,3.212,2.886,3.111
