,Unix,open,high,low,close,EMA_50,EMA_200,RSI
100,1612828800000,3.062,3.286,2.938,3.175,1.8041648284193115,,71.99951704858081
101,1612915200000,3.175,3.385,2.852,3.087,1.8553368078877008,,69.04591153988132
102,1613001600000,3.09,3.57,3.0,3.562,1.9233693243240693,,75.00601758283419
103,1613088000000,3.559,3.618,3.211,3.387,1.9816761277927037,,69.68261250485375
104,1613174400000,3.388,3.52,3.125,3.289,2.0337237781091555,,66.82246387333207
105,1613260800000,3.29,3.407,2.928,2.955,2.0703800879940175,,58.07366404336288
106,1613347200000,2.955,3.019,2.08,2.717,2.096093470147517,,52.77163925538011
107,1613433600000,2.719,2.863,2.538,2.674,2.119061771100474,,51.85057009012972
108,1613520000000,2.673,2.88,2.487,2.786,2.1455545496520174,,54.097858719798516
109,1613606400000,2.787,3.026,2.718,2.811,2.1719746276577006,,54.60714487978612
110,1613692800000,2.809,2.875,2.561,2.63,2.1901506836848244,,50.259350006211214
111,1613779200000,2.631,3.269,2.564,2.888,2.2178308468872054,,55.676595331072406
112,1613865600000,2.888,3.08,2.812,2.905,2.245075141807014,,56.01651056385124
113,1613952000000,2.905,2.912,2.023,2.58,2.2583482293721118,,48.378062828007955
114,1614038400000,2.582,2.606,1.71,2.138,2.253580798927458,,40.324599057700375
115,1614124800000,2.139,2.397,2.0,2.152,2.249558415251577,,40.661545531114434
116,1614211200000,2.153,2.336,1.987,2.007,2.2399572871221176,,38.25247372442681
117,1614297600000,2.009,2.097,1.793,1.921,2.2273367143597453,,36.85768307608376
118,1614384000000,1.925,2.105,1.915,1.964,2.2169206208168166,,38.07353442969124
119,1614470400000,1.962,1.984,1.62,1.769,2.199209441023335,,34.80087390507286
120,1614556800000,1.767,2.009,1.752,2.001,2.191374611320943,,41.26906355999026
121,1614643200000,2.001,2.595,1.981,2.508,2.203886282731679,,52.385899840711325
122,1614729600000,2.507,2.64,2.257,2.279,2.206853563063618,,47.969283059456174
123,1614816000000,2.278,2.386,2.012,2.086,2.202080758448737,,44.55953369258495
124,1614902400000,2.083,2.116,1.91,2.052,2.1961553399681875,,43.96662387803711
125,1614988800000,2.054,2.172,1.913,2.047,2.1902680235545753,,43.8741683953145
126,1615075200000,2.048,2.266,2.043,2.245,2.1924278000874358,,48.493229835269005
127,1615161600000,2.245,2.41,2.033,2.395,2.200419534112623,,51.733963490525134
128,1615248000000,2.395,2.485,2.274,2.406,2.2085280377321093,,51.972609470028175
129,1615334400000,2.406,2.483,2.171,2.212,2.208664947865132,,47.51091706103316
130,1615420800000,2.215,2.226,2.048,2.173,2.2072588751182445,,46.64401783137534
131,1615507200000,2.174,2.232,1.96,2.059,2.201415063325209,,44.11039988658952
132,1615593600000,2.059,2.382,1.977,2.378,2.2083739869533328,,51.97198819914578
133,1615680000000,2.381,2.402,2.103,2.107,2.2043797734793684,,46.0463177804131
134,1615766400000,2.108,2.36,2.041,2.224,2.2051526825203305,,48.762490765097176
135,1615852800000,2.224,2.618,2.093,2.596,2.220546782294193,,56.29602899628766
136,1615939200000,2.594,2.6,2.277,2.425,2.228598099609568,,52.47646810200032
137,1616025600000,2.423,2.799,2.405,2.609,2.243575775331887,,55.94049818374995
138,1616112000000,2.608,2.795,2.477,2.746,2.2633547545450226,,58.37343561971704
139,1616198400000,2.746,2.973,2.683,2.702,2.280620326945189,,57.27946142610044
